x,y,z,Ex,Ey,Ez
-0.00025,6.25e-05,-6.25e-05,-6.704810205118958,3.0541623690604305,8.774300807504098
-0.00025,6.25e-05,-3.125e-05,-6.70396536062571,3.053985558351039,8.608918018594153
-0.00025,6.25e-05,0.0,-6.703037254781304,3.053764998869552,8.444367736306496
-0.00025,6.25e-05,3.125000000000003e-05,-6.702025784349758,3.0535006642820517,8.280637594725789
-0.00025,6.25e-05,6.25e-05,-6.700930852336436,3.0531925308648,8.117715251447772
-0.00025,6.25e-05,9.374999999999997e-05,-6.6997523679850115,3.0528405775034004,7.955588387950119
-0.00025,6.25e-05,0.000125,-6.6984902467739404,3.0524447856918413,7.794244709959116
-0.00025,6.25e-05,0.00015625000000000003,-6.697144410412651,3.0520051395313015,7.633671947812183
-0.00025,6.25e-05,0.0001875,-6.695714786837166,3.051521625728767,7.473857856816363
-0.00025,6.25e-05,0.00021874999999999998,-6.6942013102054805,3.0509942335956057,7.314790217602759
-0.00025,6.25e-05,0.00025,-6.692603920892414,3.0504229550457054,7.156456836477066
-0.00025,9.374999999999997e-05,-0.00025,-6.707497741332315,2.7919537124028686,9.784793635372386
-0.00025,9.374999999999997e-05,-0.00021875,-6.707149917849973,2.7918649537331683,9.614114865655898
-0.00025,9.374999999999997e-05,-0.0001875,-6.706719592446253,2.791739704016175,9.444343220957757
-0.00025,9.374999999999997e-05,-0.00015625,-6.706206624402288,2.791577908829174,9.275466204932194
-0.00025,9.374999999999997e-05,-0.000125,-6.7056108792499804,2.7913795163475443,9.107471342427734
-0.00025,9.374999999999997e-05,-9.375e-05,-6.704932228771341,2.7911444773447274,8.940346179884418
-0.00025,9.374999999999997e-05,-6.25e-05,-6.704170550997481,2.790872745191857,8.774078285726397
-0.00025,9.374999999999997e-05,-3.125e-05,-6.703325730207144,2.7905642758573426,8.608655250750097
-0.00025,9.374999999999997e-05,0.0,-6.702397656924872,2.7902190279061916,8.444064688507902
-0.00025,9.374999999999997e-05,3.125000000000003e-05,-6.7013862279187455,2.7898369624991934,8.280294235687368
-0.00025,9.374999999999997e-05,6.25e-05,-6.700291346197701,2.7894180433919393,8.117331552486235
-0.00025,9.374999999999997e-05,9.374999999999997e-05,-6.6991129210084726,2.788962236933651,7.955164322983102
-0.00025,9.374999999999997e-05,0.000125,-6.697850867832115,2.788469512065845,7.793780255503935
-0.00025,9.374999999999997e-05,0.00015625000000000003,-6.696505108380103,2.7879398403208544,7.633167082984394
-0.00025,9.374999999999997e-05,0.0001875,-6.695075570590061,2.787373195820103,7.473312563328169
-0.00025,9.374999999999997e-05,0.00021874999999999998,-6.693562188621046,2.78676955527232,7.314204479761237
-0.00025,9.374999999999997e-05,0.00025,-6.691964902848479,2.7861288979714307,7.155830641182209
-0.00025,0.000125,-0.00025,-6.706786803034182,2.5299368947658145,9.784634494673243
-0.00025,0.000125,-0.00021875,-6.706438959591798,2.5296744529069146,9.613922785219382
-0.00025,0.000125,-0.0001875,-6.706008623768463,2.5293825593478294,9.444118138854774
-0.00025,0.000125,-0.00015625,-6.7054956548543725,2.5290611472451037,9.275208061825499
-0.00025,0.000125,-0.000125,-6.704899918389884,2.528710152340584,9.107180081571617
-0.00025,0.000125,-9.375e-05,-6.704221286164942,2.5283295129609105,8.940021747124376
-0.00025,0.000125,-6.25e-05,-6.703459636217961,2.5279191700167942,8.77372062949848
-0.00025,0.000125,-3.125e-05,-6.702614852834482,2.5274790670021923,8.608264322080196
-0.00025,0.000125,0.0,-6.701686826545224,2.527009149993181,8.4436404410108
-0.00025,0.000125,3.125000000000003e-05,-6.700675454123914,2.5265093676469084,8.279836625565668
-0.00025,0.000125,6.25e-05,-6.699580638584535,2.5259796712000813,8.116840538529095
